slug,name,status,source_count,processed_source_count,ingestion_error_count,ioc_count,ioc_observation_count,artifact_count,validation_errors,validation_warnings,ingest_seconds,render_seconds,validate_seconds
unc4536,UNC4536,complete,1,1,0,0,0,1,0,3,0,0.057,0.069
unc4696,UNC4696,complete,1,1,0,0,0,3,0,7,0,0.056,0.069
unc4713,UNC4713,complete,1,1,0,0,0,1,0,3,0,0.052,0.062
unc4814,UNC4814,complete,1,1,0,0,0,4,0,9,0,0.054,0.067
unc4841,UNC4841,complete,1,1,0,0,0,0,0,1,0,0.056,0.065
unc4857,UNC4857,complete,1,1,0,0,0,1,0,3,0,0.051,0.062
unc4895,UNC4895,complete,1,1,0,0,0,2,0,5,0,0.053,0.067
unc4896,UNC4896,complete,1,1,0,0,0,2,0,5,0,0.052,0.063
unc4899,UNC4899,complete,1,1,0,0,0,17,0,33,0,0.05,0.065
unc4962,UNC4962,complete,1,1,0,0,0,1,0,3,0,0.049,0.066
unc5051,UNC5051,complete,1,1,0,0,0,1,0,3,0,0.052,0.071
unc5092,UNC5092,complete,1,1,0,0,0,3,0,7,0,0.05,0.068
unc5103,UNC5103,complete,1,1,0,0,0,1,0,3,0,0.054,0.066
unc5135,UNC5135,complete,1,1,0,0,0,3,0,7,0,0.055,0.067
unc5142,UNC5142,complete,1,1,0,0,0,2,0,5,0,0.053,0.065
unc5155,UNC5155,complete,1,1,0,0,0,2,0,5,0,0.051,0.063
unc5174,UNC5174,complete,3,3,0,52,79,8,0,93,0,0.068,0.068
unc5203,UNC5203,complete,1,1,0,0,0,1,0,3,0,0.052,0.07
unc5221,UNC5221,complete,1,1,0,0,0,30,0,61,0,0.052,0.065
unc5227,UNC5227,complete,1,1,0,0,0,7,0,15,0,0.054,0.068
unc5267,UNC5267,complete,1,1,0,0,0,7,0,15,0,0.051,0.066
unc5277,UNC5277,complete,1,1,0,0,0,4,0,9,0,0.05,0.065
unc5280,UNC5280,complete,1,1,0,0,0,5,0,11,0,0.056,0.07
unc5291,UNC5291,complete,1,1,0,0,0,3,0,7,0,0.052,0.068
unc5337,UNC5337,complete,1,1,0,0,0,4,0,9,0,0.054,0.065
unc5342,UNC5342,complete,1,1,0,0,0,7,0,15,0,0.053,0.064
unc553,UNC553,complete,1,1,0,0,0,1,0,3,0,0.055,0.064
unc5537,UNC5537,complete,1,1,0,0,0,7,0,15,0,0.051,0.066
unc5606,UNC5606,complete,1,1,0,0,0,1,0,3,0,0.052,0.068
unc5691,UNC5691,complete,1,1,0,0,0,1,0,3,0,0.051,0.066
unc577,UNC577,complete,1,1,0,0,0,0,0,1,0,0.052,0.065
unc5791,UNC5791,complete,1,1,0,0,0,6,0,13,0,0.051,0.068
unc5812,UNC5812,complete,1,1,0,0,0,1,0,3,0,0.054,0.07
unc5820,UNC5820,complete,1,1,0,0,0,8,0,17,0,0.053,0.066
