actor_id,canonical_name,mitre_group_id,is_profiled,catalog_slugs,mention_source_count,mention_count,aliases
actor-census--mitre:G0017,DragonOK,G0017,false,[],6,26,"[""Dragon Castling"", ""DragonOK""]"
actor-census--sha256:71877aab27f9e4926e79eb899f061fe2c0ec8770e112757e2b07843d24313800,DragonSpark,,false,[],3,7,"[""DragonSpark""]"
actor-census--sha256:06b9871d6a693de3730e448e18fee807be5dbee3003538095286af636f4743bc,Dungeon Spider,,false,[],4,16,"[""Dungeon Spider""]"
actor-census--mitre:G0031,Dust Storm,G0031,false,[],4,13,"[""Dust Storm""]"
actor-census--sha256:b6a510d94311db6bf99dcdc9c214c4a91a7610529b483dbd04466dff6bf2e1c1,Earth Berberoka,,false,[],3,10,"[""Earth Berberoka"", ""Gambling Puppet"", ""GamblingPuppet""]"
actor-census--mitre:G1006,Earth Lusca,G1006,false,[],47,96,"[""Charcoal Typhoon"", ""CHROMIUM"", ""ControlX"", ""Earth Lusca"", ""TAG-22""]"
actor-census--sha256:4566cff4cbf208207620d072ab9e547f93922ab654dac53c635a920b30adfa65,Earth Yako,,false,[],1,1,"[""Earth Yako""]"
actor-census--mitre:G0066,Elderwood,G0066,false,[],5,25,"[""Beijing Group"", ""Elderwood"", ""Elderwood Gang"", ""Hydraq"", ""SIG22"", ""Sneaky Panda""]"
actor-census--sha256:d7ef442faac7a6ec1f74b56c6ed0139d37ae7608cb2fe74d7f5a4430c185f3c3,Electric Panda,,false,[],2,2,"[""Electric Panda""]"
actor-census--sha256:14a3447269a169cd7fd7a39f7ee242e164af079bbd4a8ced88cd98368f78794e,Electric Powder,,false,[],1,2,"[""Electric Powder""]"
actor-census--sha256:2cab61ea2b784e6686154ef68ef1f9cce28a15f51bca7c4bbc87af03942942a5,Eloquent Panda,,false,[],1,1,"[""Eloquent Panda""]"
actor-census--mitre:G1031,Ember Bear,G1003,false,[],30,105,"[""Bleeding Bear"", ""Cadet Blizzard"", ""DEV-0586"", ""Ember Bear"", ""Frozenvista"", ""Lorec Bear"", ""Lorec53"", ""Saint Bear"", ""Storm-0587"", ""TA471"", ""UAC-0056"", ""UNC2589""]"
actor-census--sha256:832b7d69e1e392f2e3a0ce712059f35e3a013312335f7beb1332eb6700604546,Emennet Pasargad,,false,[],11,18,"[""Emennet Pasargad""]"
actor-census--sha256:75a793480ad46c95a250df79a79dab1c0703079b061a8ac2f38d179ef9823c41,EmpireMonkey,,false,[],3,8,"[""CobaltGoblin"", ""EmpireMonkey""]"
actor-census--sha256:5321a1732a91b27b5b067aa2b782d929bbaaac8cf4e09a8d29a4c61b6f9d7213,Evanescent Bat,,false,[],1,1,"[""Evanescent Bat""]"
actor-census--mitre:G0120,Evilnum,G0120,false,[],13,36,"[""Decepticons"", ""Evilnum""]"
actor-census--sha256:0beea6258ae5cfeee8d5a0f2e5e62b9c14f116579f5c435a054b294d7e9bd959,EvilPost,,false,[],2,5,"[""EvilPost""]"
actor-census--mitre:G1011,EXOTIC LILY,G1011,false,[],3,4,"[""EXOTIC LILY""]"
actor-census--sha256:92cc02650ee39dd910e471c9c12b5468989272883f9ed07035efb093dfe30eee,Extreme Jackal,,false,[],6,14,"[""Extreme Jackal""]"
actor-census--mitre:G0137,Ferocious Kitten,G0137,false,[],2,8,"[""Ferocious Kitten""]"
actor-census--mitre:G0051,FIN10,G0051,false,[],5,19,"[""FIN10""]"
actor-census--sha256:b148611efa2fa77a302416383a2c4f9d4d4b73b923bea292b0383752b2079c01,FIN1125,,false,[],1,1,"[""FIN1125""]"
actor-census--mitre:G1016,FIN13,G1016,false,[],5,8,"[""Elephant Beetle"", ""FIN13""]"
actor-census--mitre:G0085,FIN4,G0085,false,[],4,16,"[""FIN4""]"
actor-census--mitre:G0053,FIN5,G0053,false,[],3,15,"[""FIN5""]"
actor-census--mitre:G0037,FIN6,G0037,false,[],11,46,"[""Camouflage Tempest"", ""FIN6"", ""ITG08"", ""Magecart Group 6"", ""Skeleton Spider"", ""TAAL""]"
actor-census--mitre:G0046,FIN7,G0046,false,[],37,123,"[""Carbon Spider"", ""ELBRUS"", ""FIN7"", ""GOLD NIAGARA"", ""ITG14"", ""Sangria Tempest""]"
actor-census--mitre:G0061,FIN8,G0061,false,[],11,33,"[""FIN8"", ""Syssphinx""]"
actor-census--sha256:e3432083d97c0776c4f96c1e4dc40eeace2fa363e4fed0b7e6352bfdf7d0af04,FIN9,,false,[],3,4,"[""FIN9""]"
actor-census--mitre:G0117,Fox Kitten,G0117,false,[],21,77,"[""Fox Kitten"", ""Lemon Sandstorm"", ""Parisite"", ""Pay2key"", ""Pioneer Kitten"", ""PioneerKitten."", ""RUBIDIUM"", ""UNC757""]"
